"id","estacion","idpm","direccion"
"1","Moli","1717","138.612379673159"
"2","Moli","1718","214.160901226363"
"3","Moli","1719","217.91666308295"
"4","Moli","3611","121.351959905997"
"5","Moli","1716","196.337052994439"
"6","Moli","3624","115.993931946647"
"7","Moli","3610","117.712229905309"
"8","Moli","3625","114.084945174961"
"9","Moli","1715","195.730373882966"
"10","Moli","3623","157.569201949928"
"11","Moli","3609","115.370242415728"
"12","Moli","3612","155.840056904664"
"13","Moli","3613","157.649660292441"
"14","Moli","3606","111.556560086146"
"15","Moli","3822","233.923466520583"
"16","Moli","3827","248.785639867328"
"17","Moli","3826","246.849209626584"
"18","Moli","3626","125.67640471512"
"19","Moli","3825","238.12203431581"
"20","Moli","3823","247.482015376757"
"21","Moli","915","112.632785389713"
"22","Moli","922","102.273822037983"
"23","Moli","1702","181.389266972022"
"24","Moli","912","103.759605172816"
"25","Moli","3622","162.561099144133"
"26","Moli","3601","175.857909428892"
"27","Pista","518","248.384554916192"
"28","Pista","504","317.274873419807"
"29","Pista","505","193.845047482904"
"30","Pista","529","155.864865499498"
"31","Pista","532","301.670040656431"
"32","Pista","522","169.15749140388"
"33","Pista","506","172.561538806923"
"34","Pista","531","309.776183442711"
"35","Pista","2316","60.0196962048436"
"36","Pista","538","151.097963041954"
"37","Pista","502","128.385626985188"
"38","Pista","2315","71.1539831397715"
"39","Pista","528","197.535065950351"
"40","Pista","534","296.047052296939"
"41","Pista","535","226.999793886278"
"42","Pista","2329","103.384321107204"
"43","Pista","2328","103.428497511394"
"44","Pista","2317","65.7467978673135"
"45","Pista","533","303.199702651722"
"46","Pista","2314","81.4892717856802"
"47","Pista","2313","85.6047308357517"
"48","Pista","539","184.054654291556"
"49","Pista","523","123.379555824922"
"50","Pista","530","182.66873133673"
"51","Pista","601","42.4355819154907"
"52","Pista","503","155.615354751458"
"53","Pista","2318","69.4674555592557"
"54","Pista","2319","67.7423044549742"
"55","Pista","507","213.928021927063"
"56","Pista","527","199.216010942516"
"57","Pista","521","187.013977962313"
"58","Pista","508","196.591844096749"
"59","Pista","2311","94.6699749966164"
"60","Pista","323","281.722155567606"
"61","Pista","325","286.01845279989"
"62","Pista","328","279.380273988101"
"63","Pista","332","280.361513910162"
"64","Pista","2312","92.330276069525"
"65","Pista","510","187.637896310067"
"66","Pista","2320","71.4919917844024"
"67","Pista","2310","99.8721570187891"
"68","Pista","610","23.9218603277751"
"69","Pista","2309","97.9937038556902"
"70","Pista","2321","69.5950799669994"
"71","Pista","509","199.853368290731"
"72","Pista","526","126.408438890081"
"73","Pista","326","261.087952871011"
"74","Pista","324","278.774500801821"
"75","Pista","2251","160.154753046695"
"76","Pista","320","256.418410202041"
"77","Pista","614","347.893958497639"
"78","Pista","2308","102.55236774165"
"79","Pista","618","334.183248629094"
"80","Pista","2238","128.887517693365"
"81","Pista","2239","135.716402685791"
"82","Pista","307","235.314496944079"
"83","Pista","2307","102.881986495916"
"84","Pista","2322","71.3656062182103"
"85","Pista","615","8.00086201464575"
"86","Pista","609","357.217642539698"
"87","Pista","2240","138.063675473363"
"88","Pista","602","13.571317866688"
"89","Pista","2241","143.180536628356"
"90","Pista","2252","159.980799100697"
"91","Pista","512","193.249457323281"
"92","Pista","2237","126.147258867134"
"93","Pista","2323","71.0596475799176"
"94","Pista","2236","124.815973325314"
"95","Pista","306","241.610447308771"
"96","Pista","2242","144.781575134762"
"97","Pista","612","311.686366166274"
"98","Pista","511","184.71998916618"
"99","Pista","611","303.603963861572"
"100","Pista","302","251.843818605466"
"101","Pista","604","352.046330639184"
"102","Pista","513","200.737515594911"
"103","Pista","308","234.990440482044"
"104","Pista","613","22.3303662539107"
"105","Pista","524","199.367990259932"
"106","Pista","520","193.58994483122"
"107","Pista","2243","154.501812850855"
"108","Pista","309","237.005674754926"
"109","Pista","304","241.089599597283"
"110","Pista","1910","27.9753279628409"
"111","Pista","2244","153.621177562977"
"112","Pista","322","224.826634184106"
"113","Pista","2219","132.984993982257"
"114","Pista","310","237.277451807426"
"115","Francia","3926","290.470066926825"
"116","Francia","3905","277.358197615712"
"117","Francia","3903","343.957936308695"
"118","Francia","3913","248.73576519423"
"119","Francia","3904","357.006283146771"
"120","Francia","3922","220.783851397315"
"121","Francia","3914","216.680457483376"
"122","Francia","3923","303.970376921495"
"123","Francia","3916","225.650636741935"
"124","Francia","3915","238.264129944707"
"125","Francia","3917","226.053272450836"
"126","Francia","3929","312.742767711788"
"127","Francia","3924","316.468182330387"
"128","Francia","3906","35.601451658595"
"129","Francia","1617","250.22747796696"
"130","Francia","1616","245.852641449897"
"131","Francia","3118","231.510311588765"
"132","Francia","1618","258.872594944275"
"133","Francia","3921","337.6934743414"
"134","Francia","1619","275.249491028522"
"135","Francia","3931","324.359113924283"
"136","Francia","1615","244.311989767787"
"137","Francia","1614","268.223490745876"
